numeroZE,rota,parada,numeroLocalVotacao
1,1,18,1015
1,1,20,1023
1,1,5,1139
1,1,12,1163
1,1,17,1198
1,1,22,1236
1,1,15,1244
1,1,14,1287
1,1,7,1309
1,1,11,1333
1,1,1,1341
1,1,6,1376
1,1,3,1384
1,1,21,1422
1,1,24,1457
1,1,2,1899
1,1,4,1902
1,1,25,1961
1,1,8,2003
1,1,10,2020
1,1,13,2046
1,1,19,2097
1,1,16,2100
1,1,9,2143
1,1,26,2151
1,1,23,2208
2,1,5,1015
2,1,4,1023
2,1,11,1228
2,1,10,1236
2,1,12,1252
2,1,17,1317
2,1,13,1333
2,1,14,1341
2,1,2,1350
2,1,9,1368
2,1,15,1430
2,3,3,1449
2,1,6,1457
2,3,6,1465
2,3,1,1473
2,3,8,1481
2,3,9,1490
2,3,5,1511
2,3,7,1520
2,3,4,1538
2,1,21,1546
2,1,7,1554
2,1,16,1562
2,1,8,1589
2,1,18,1597
2,1,20,1600
2,1,19,1619
2,1,22,1627
2,3,2,1635
2,1,1,1643
2,1,3,1678
3,2,8,1333
3,2,10,1341
3,2,9,1350
3,2,19,1376
3,2,13,1384
3,2,12,1392
3,2,17,1406
3,2,7,1414
3,2,16,1422
3,2,15,1430
3,2,6,1449
3,2,4,1457
3,2,2,1465
3,2,1,1473
3,2,18,1520
3,2,20,1570
3,2,11,1635
3,2,5,1643
3,2,3,1651
3,2,14,1660
4,1,19,1139
4,1,5,1147
4,1,16,1163
4,1,9,1180
4,1,11,1252
4,1,20,1457
4,1,3,1490
4,1,7,1503
4,1,13,1511
4,1,18,1520
4,1,10,1554
4,1,15,1562
4,1,14,1570
4,1,4,1589
4,1,1,1597
4,1,17,1619
4,1,6,1627
4,1,2,1635
4,1,8,1651
4,1,12,1660
5,1,9,1023
5,4,1,1058
5,1,10,1066
5,4,2,1074
5,3,8,1082
5,3,2,1104
5,3,3,1112
5,3,5,1139
5,5,6,1163
5,5,4,1171
5,2,6,1309
5,2,7,1317
5,2,4,1341
5,2,2,1350
5,1,3,1368
5,4,8,1406
5,1,1,1422
5,4,6,1430
5,3,6,1473
5,4,14,1481
5,2,5,1490
5,5,7,1503
5,3,1,1511
5,4,3,1520
5,4,4,1538
5,1,6,1546
5,4,5,1554
5,4,11,1597
5,5,3,1600
5,1,5,1619
5,3,4,1627
5,1,8,1635
5,3,7,1643
5,5,5,1651
5,4,9,1660
5,1,2,1686
5,5,2,1694
5,5,1,1716
5,4,12,1732
5,2,1,1740
5,1,7,1759
5,4,13,1767
5,4,7,1775
5,3,9,1783
5,4,10,1805
5,1,4,1813
5,2,3,1821
6,4,9,1015
6,4,5,1031
6,5,13,1058
6,5,5,1066
6,5,4,1074
6,5,7,1082
6,5,12,1120
6,5,11,1139
6,2,1,1171
6,3,4,1201
6,2,8,1210
6,1,6,1228
6,1,5,1252
6,1,7,1279
6,3,1,1287
6,3,5,1295
6,5,9,1325
6,4,2,1376
6,4,12,1406
6,2,6,1422
6,3,8,1481
6,1,8,1490
6,4,1,1520
6,5,6,1546
6,4,10,1554
6,2,2,1562
6,1,1,1570
6,4,8,1589
6,4,13,1597
6,5,1,1600
6,4,6,1619
6,4,3,1635
6,4,4,1643
6,4,11,1651
6,3,3,1660
6,2,5,1678
6,2,9,1686
6,3,7,1694
6,5,3,1716
6,3,2,1759
6,5,8,1813
6,5,10,1821
6,3,6,1856
6,2,7,1864
6,1,2,1872
6,2,4,1880
6,1,4,1899
6,5,2,1902
6,2,3,1910
6,1,3,1929
6,4,7,1937
8,2,2,1325
8,3,5,1341
8,3,6,1350
8,2,4,1406
8,1,4,1422
8,1,7,1430
8,2,1,1457
8,1,5,1465
8,3,7,1473
8,1,8,1490
8,1,6,1708
8,2,3,1716
8,1,2,1740
8,1,3,1759
8,1,11,1791
8,3,10,1805
8,3,9,1813
8,1,9,1821
8,1,10,1830
8,3,8,1848
8,2,9,1856
8,2,16,1864
8,2,5,1872
8,2,14,1880
8,2,8,1899
8,2,13,1902
8,2,17,1910
8,3,2,1929
8,2,7,1937
8,1,1,1945
8,3,4,1953
8,2,12,1961
8,2,6,1970
8,3,3,1988
8,2,11,1996
8,3,1,2003
8,2,10,2011
8,2,15,2020
